alt,dTs,MN,Fn,Fg,TSFC,W,BPR,FAR_core,FAR_ab,OPR,fan_PR,hpc_PR,hpt_PR,lpt_PR,T4,T7,LP_Nmech,HP_Nmech,mode
0.0,0.0,0.001,17741.91392016152,17746.671127007732,1.5208182861311128,137.08732464632214,0.7527998350428049,0.027263060328886313,0.04153252863483371,26.6508691108928,4.1000930898583,6.500064395321781,2.640735362318785,2.447781011944551,3100.0,3800.00000227354,10000.101201825157,13999.964330673467,wet
0.0,10.0,0.001,16925.28230012194,16929.916267188688,1.53446006913411,132.27311218792292,0.765765846114911,0.027197386616732173,0.041527096036159755,25.52443519361277,3.9673678262022753,6.433594340569574,2.6406481329444684,2.433817164991267,3100.0,3800.0000003753194,9963.74939183328,14030.969006565752,wet
0.0,20.0,0.001,16114.282365660298,16118.793098255333,1.5504941190286754,127.56066763627089,0.7773109872640891,0.027114716375119162,0.04151851715414991,24.453163154175538,3.83629926942849,6.374154213943385,2.641063831271862,2.4187976612687696,3100.0,3800.0000000195305,9925.339727951103,14064.755544360505,wet
0.0,30.0,0.001,15417.650154642612,15422.055805144473,1.564532101574899,123.45414226206027,0.7896539636974129,0.026997883256714,0.04152902126484525,23.499998564965598,3.7202974732381726,6.316698794656073,2.641968976763425,2.407077350298213,3100.000111799983,3800.000065686672,9902.966189601882,14101.486636334195,wet
0.0,40.0,0.001,14772.932729327917,14777.239818624643,1.5781221188090477,119.6151488276345,0.8037243841576066,0.02690072491072385,0.04153966884881022,22.589410396088386,3.6140786005492584,6.250392670667236,2.6422774172964703,2.3945239479886267,3099.9998005357893,3799.9999860583434,9885.71566632422,14131.564856120345,wet
0.0,50.0,0.001,14083.151986362596,14087.34597889962,1.5938772575397437,115.45393014192851,0.8201319501195024,0.02684330562202767,0.04154604646800744,21.60578750378946,3.5014861756085867,6.170462032463743,2.641696798125582,2.381090575879499,3100.0,3800.000000001111,9861.760694733657,14152.319384050985,wet
0.0,-10.0,0.001,18358.02406671455,18362.859939461618,1.5123638587796544,140.71082255908968,0.7428837986078461,0.027385802759799325,0.04153366622580617,27.514385724920956,4.201270049392248,6.549063831043464,2.6376173287758684,2.4598587114169845,3100.0005387576334,3800.000300691492,10113.411119839628,13954.650359121097,wet
0.0,-20.0,0.001,19004.790200680087,19009.70662053807,1.503675206087746,144.47507049672654,0.7336387041102782,0.027509558623355832,0.041537697988692064,28.404529916779108,4.299889753315334,6.605873998252729,2.6344734231023406,2.4716021444963454,3099.9999999999995,3800.0,10226.89834950599,13912.417154207602,wet
0.0,-30.0,0.001,19611.405267422215,19616.39003283005,1.4960721976523277,147.96796258865297,0.72180303315166,0.027606665282423448,0.041533349204227576,29.294055236429294,4.38841890164362,6.675309694217574,2.6301716381541285,2.4880696972139016,3100.0,3800.000000101394,10415.065611873217,13880.540719267741,wet
2500.0,-20.0,0.001,17884.710882854175,17889.258837488316,1.4952006816346393,134.8525967422487,0.7226476551896115,0.02756387453302773,0.04156459533191047,29.229117636531882,4.372404991966773,6.68490629075606,2.631152754636976,2.488820890980162,3100.0,3799.9999999978727,10407.875395877869,13894.042215465368,wet
2500.0,-10.0,0.001,17310.248908749378,17314.729950348446,1.5031603195024896,131.53858246018257,0.7315906496518906,0.027470241988760635,0.04154497884334905,28.36090257857086,4.284052881367941,6.620110293670077,2.6353399433925935,2.473865609492099,3100.0,3799.99999998436,10215.997809324683,13931.446351477083,wet
2500.0,50.0,0.001,13386.368765426509,13390.281307934709,1.5807241856712768,108.55340543986532,0.8034681982644655,0.026903448389538755,0.04154337121117933,22.45951957822162,3.593822208725968,6.249479877910726,2.6422244838534823,2.391713310197835,3099.999735389904,3800.000236820444,9872.777370311134,14137.372349607162,wet
2500.0,40.0,0.001,13946.872531561408,13950.867835730887,1.5670767637869045,111.84554016230655,0.7912736569256484,0.027021446145072927,0.041535860064861395,23.30095890772294,3.6950863534107796,6.305930817074086,2.6416591263592375,2.4027043629943767,3099.999832401082,3800.000048137972,9882.531153319498,14098.023396997394,wet
2500.0,30.0,0.001,14700.31996840753,14704.43569161069,1.5493689151565146,116.27359569912328,0.7797659152999266,0.027085799911783302,0.04155456010010363,24.381675422189467,3.829225737944742,6.367259882483666,2.6413391853141253,2.4201239605233194,3099.9999999999995,3800.000000089661,9931.978703258914,14070.321232448303,wet
2500.0,20.0,0.001,15393.285397557025,15397.507499962632,1.5358111533903651,120.39387066766898,0.7661202386118009,0.027166109420908878,0.041550298608860316,25.442769264150755,3.955929192484735,6.431553252390255,2.641151128151238,2.4324646792834805,3100.0,3800.0,9964.020743506557,14038.297098039782,wet
